# https://store.tmotor.com/product/mn7005-kv115-motor-antigravity-type.html
# Type: MN7005
# Voltage (V): 48
# Propeller: T-MOTOR P24*7.2" CF

RPM,Thrust,Torque
1972,12.9643913,0.38
2032,13.8077632,0.41
2142,14.83746145,0.44
2207,15.7494799,0.46
2284,16.73995155,0.48
2364,17.72061655,0.51
2460,19.09354755,0.55
2542,20.2801522,0.58
2606,21.2215906,0.6
2699,22.359162,0.64
2778,23.5163467,0.67
2855,24.58527155,0.7
2926,25.76206955,0.73
2999,27.0271274,0.76
3075,28.3216052,0.79
3136,29.5572431,0.83
3343,32.8130509,0.91
3474,35.35297325,0.98
3758,41.4232896,1.14
4038,46.90520695,1.32
