# https://store.tmotor.com/product/u15xl-manned-aircraft-combo.html
# Type: U15XL KV38
# Propeller: 52*20"

RPM,Thrust [g],Torque [Nm],Thrust,Torque,Moment Constant [m]
1143,10959,6.78,107.4710774,6.78,0.063086741
1266,14276,8.7,139.9997354,8.7,0.062142975
1443,18040,10.94,176.911966,10.94,0.061838666
1596,23169,14.01,227.2102739,14.01,0.061660944
1836,30435,18.46,298.4653928,18.46,0.061849717
1986,36786,22.44,360.7474269,22.44,0.062204186
2133,41234,25.14,404.3674061,25.14,0.062171183
2223,44855,27.46,439.8772858,27.46,0.062426501
2345,51254,31.33,502.6300391,31.33,0.062332128
2466,56362,34.55,552.7224073,34.55,0.062508774
2556,61101,37.45,599.1961217,37.45,0.062500405
2712,71194,43.99,698.1746401,43.99,0.063007158
2796,74366,46.07,729.2813339,46.07,0.06317178
2872,77953,48.23,764.4577875,48.23,0.063090469
2910,81206,50.4,796.3588199,50.4,0.063288054
