# https://store.tmotor.com/product/mn5006-kv450-motor-antigravity-type.html
# Type: MN5006 KV450
# Propeller: T-MOTOR P14*4.8" CF
# Battery: 6S

RPM,Thrust [g],Torque [Nm],Thrust,Torque,Moment Constant [m]
3983,610,0.11,5.9820565,0.11,0.018388325
4318,724,0.12,7.1000146,0.12,0.016901374
4674,840,0.14,8.237586,0.14,0.01699527
5059,988,0.17,9.6889702,0.17,0.017545724
5440,1160,0.19,11.375714,0.19,0.016702248
5757,1291,0.22,12.66038515,0.22,0.017377038
6136,1479,0.24,14.50403535,0.24,0.016547119
6527,1674,0.27,16.4163321,0.27,0.016447036
6883,1878,0.31,18.4168887,0.31,0.016832376
7588,2296,0.37,22.5160684,0.37,0.016432709
8168,2672,0.44,26.2033688,0.44,0.016791734
